"bron";"jaar";"nox";"co2"
wegverkeer;2010;107.56;30027
wegverkeer;2011;102.81;29806
wegverkeer;2012;97.03;29381
wegverkeer;2013;90.07;28803
wegverkeer;2014;85.14;28695
wegverkeer;2015;84.16;29146
wegverkeer;2016;80.46;29860
wegverkeer;2017;77.13;29978
wegverkeer;2018;72.69;30671
benzine;2010;14.01;12843
benzine;2011;13.47;12971
benzine;2012;12.25;12859
benzine;2013;12.03;12854
benzine;2014;12.15;12975
benzine;2015;13.55;13145
benzine;2016;12.69;13502
benzine;2017;13.52;13652
benzine;2018;13.15;14145
diesel;2010;91.49;16344
diesel;2011;87.45;16050
diesel;2012;82.98;15779
diesel;2013;76.39;15237
diesel;2014;71.66;15065
diesel;2015;69.38;15389
diesel;2016;66.73;15792
diesel;2017;62.69;15802
diesel;2018;58.72;16019
lpg;2010;2.06;839
lpg;2011;1.89;785
lpg;2012;1.79;744
lpg;2013;1.65;712
lpg;2014;1.34;655
lpg;2015;1.23;612
lpg;2016;1.04;566
lpg;2017;0.92;524
lpg;2018;0.81;507